,Star Temperature [K],Planet Temperature [K],Planet Radius [Rjup],Total Observation Time [days]
1916,7277.0,2102.301213,1.223032342,16.1055
1917,6859.0,1474.452591,1.165850864,9.732
1918,5058.2,830.0209847,0.435953499,24.88325
1919,6275.0,1702.449899,1.066063771,20.3155
1920,5333.0,867.6474471,1.359529632,7.54325
1921,6389.0,1659.116059,1.391668267,7.113250000000001
1922,5654.0,1756.155185,2.10902614,2.24375
1923,5369.0,1875.134048,1.25989327,13.266000000000002
1924,6287.0,1798.746056,1.45271365,16.645500000000002
1925,6113.0,1110.344089,0.853034767,40.3275
1926,5698.0,1559.436145,0.913046727,11.398499999999999
1927,5483.0,1085.980928,1.212976951,13.0995
1928,6763.0,1568.404807,1.330145588,6.800625
1929,6188.0,1337.53311,1.083488289,5.655
1930,5840.0,1065.248168,0.5744449,7.5363750000000005
1931,8653.0,2748.158376,1.36535241,19.025999999999996
1932,5183.0,1262.787225,0.954867231,7.495999999999999
1933,9169.0,2527.57205,1.791572926,11.5245
1934,10708.0,2608.93247,1.087242545,7.511
1935,6333.0,2034.73125,1.553650182,1.2843749999999998
1936,5575.23,1951.149631,1.24087955,13.253625000000001
1937,5479.0,1970.090818,0.80113414,4.974375
1938,5455.0,1468.899175,1.311164322,2.3625
1939,8219.0,2110.310197,1.567394545,2.4351249999999998
1940,6622.0,1783.261126,1.029800325,4.804499999999999
1941,5806.0,1853.731558,1.888768743,3.565125
1942,8615.0,1957.351953,1.034474623,2.565
1943,5406.0,1074.098892,0.732433333,39.6875
1944,6433.0,1525.717678,1.43503021,4.0947499999999994
1945,9391.0,4347.329336,1.597744239,1.27
1946,6445.0,1981.855977,1.269433951,23.512500000000003
1947,5061.0,1064.972673,1.352748343,1.9675000000000002
1948,5964.0,1656.299692,1.016009322,11.764500000000002
1949,4881.0,835.8802761,1.152917676,14.309750000000001
1950,5604.0,2182.114718,1.251345199,2.011625
1951,5508.0,1388.193586,1.069896142,7.032375
1952,6692.0,2002.800264,1.082292986,7.5073750000000015
1953,4708.0,1181.930692,1.373892978,0.7105
1954,5496.0,1238.425688,1.467187948,1.8675000000000002
1955,6160.0,1525.300199,1.233629125,11.606875
1956,6066.0,1454.24855,0.852803947,25.767750000000007
1957,4520.0,2000.738086,1.16544388,1.8762499999999998
1958,4676.0,720.8849243,1.082913716,10.2725
1959,9561.0,2848.893996,1.327569955,2.78625
1960,6443.0,1641.912887,1.09166521,20.41
1961,6955.0,1806.721417,1.458177759,7.061375
1962,7509.38,3029.936902,0.683074146,5.889
1963,6304.0,1414.33737,0.653275873,13.484625000000001
1964,5670.0,1165.464978,0.263937567,4.117749999999999
1965,6832.0,1754.084872,1.549351795,1.389375
1966,6028.0,1551.074018,1.51355691,1.7531970000000001
